species,nodulation
Acacia_polyphylla,Yes
Acacia_polystachya,Yes
Acacia_praecox,Yes
Acacia_praelongata,Yes
Acacia_prainii,Yes
Acacia_pravissima,Yes
Acacia_pringlei,Yes
Acacia_producta,Yes
Acacia_prominens,Yes
Acacia_pruinocarpa,Yes
Acacia_pruinosa,Yes
Acacia_pseudofistula,Yes
Acacia_pubescens,Yes
Acacia_pulchella,Yes
Acacia_pulviniformis,Yes
Acacia_puncticulata,Yes
Acacia_pusilla,Yes
Acacia_pustula,Yes
Acacia_pycnantha,Yes
Acacia_pycnocephala,Yes
Acacia_pycnostachya,Yes
Acacia_pygmaea,Yes
Acacia_pyrifolia,Yes
Acacia_quadrilateralis,Yes
Acacia_quadrimarginea,Yes
Acacia_quornensis,Yes
Acacia_redolens,Yes
Acacia_reficiens,Yes
Acacia_rehmanniana,Yes
Acacia_reniformis,Yes
Acacia_resinosa,Yes
Acacia_retivenea,Yes
Acacia_rhetinocarpa,Yes
Acacia_rhigiophylla,Yes
Acacia_rigidula,Yes
Acacia_riparia,Yes
Acacia_robinae,Yes
Acacia_robusta,Yes
Acacia_roemeriana,Yes
Acacia_rosei,Yes
Acacia_rovumae,Yes
Acacia_roycei,Yes
Acacia_rubida,Yes
Acacia_rugata,Yes
Acacia_ruppii,Yes
Acacia_russelliana,Yes
Acacia_sabulosa,Yes
Acacia_saliciformis,Yes
Acacia_salicina,Yes
Acacia_saligna,Yes
Acacia_saxatilis,Yes
Acacia_schaffneri,Yes
Acacia_schinoides,Yes
Acacia_schottii,Yes
Acacia_schweinfurthii,Yes
Acacia_scirpifolia,Yes
Acacia_sclerophylla,Yes
Acacia_sclerosperma,Yes
Acacia_scopulorum,Yes
Acacia_sedifolia,Yes
Acacia_semilunata,Yes
Acacia_semitrullata,Yes
Acacia_senegal,Yes
Acacia_sericata,Yes
Acacia_sertiformis,Yes
Acacia_sessilis,Yes
Acacia_seyal,Yes
Acacia_sibilans,Yes
Acacia_siculiformis,Yes
Acacia_sieberiana,Yes
Acacia_signata,Yes
Acacia_silvestris,Yes
Acacia_simsii,Yes
Acacia_skleroxyla,Yes
Acacia_sparsiflora,Yes
Acacia_spathulifolia,Yes
